trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,trial.stopped,wait.started,wait.stopped,triggerrrs.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,triggerrrs.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,start_detect_cue,dur_pic,dur_rise,temp_plateau_sent,loca_thermode,pic_sent,quest_intens,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,Cali_fin.started,text.started,text.stopped,Cali_fin.stopped,threshold,slope,lowerAsymptote,lapseRate,pic_a_utiliser,participant,com_thermode,temp_plateau,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,11.536652699986007,,0.003193399985320866,11.52094990000478,11.521677599987015,16.52074320000247,16.520755699981237,16.553482499992242,24.020286799990572,24.020286799990572,26.753707800002303,27.02038060000632,27.02038060000632,27.0042575999978,3.57,4.48,432,448,7.5,3.5,1.2,0.75,459,0,463,0.4000000000000001,0,m,1.2685665000171866,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
1,0,1,0,27.02038060000632,,,,27.009463800000958,32.004317299986724,32.00432829998317,32.03714229998877,39.52062969998224,39.52062969998224,42.237383900006535,42.520722799992654,42.520722799992654,42.50463879999006,3.77,4.28,452,428,7.5,3.5,1.2,0.75,459,1,468,0.9000000000000001,1,n,1.0603487999760546,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
2,0,2,0,42.520722799992654,,,,42.51088359998539,47.5046624999959,47.504674499999965,47.52087209999445,55.02103450000868,55.02103450000868,57.72109320000163,58.037770299997646,58.037770299997646,58.004901599982986,4.16,3.89,491,389,7.5,3.5,1.2,0.75,459,2,468,0.9000000000000001,0,m,1.4111364999844227,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
3,0,3,0,58.037770299997646,,,,58.0091940999846,63.021287699986715,63.02129770000465,63.037891199986916,70.52139409998199,70.52139409998199,73.23812429999816,73.52144700000645,73.52144700000645,73.50542619999032,3.91,4.14,466,413,7.5,3.5,1.2,0.75,459,3,469,1.0000000000000002,0,m,1.1991986999928486,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
4,0,4,0,73.52144700000645,,,,73.51149659999646,78.50540209998144,78.50541330000851,78.52158800000325,86.0217135999992,86.0217135999992,88.72180010000011,89.0218096000026,89.0218096000026,89.00552169998991,4.05,4.0,480,400,7.5,3.5,1.2,0.75,459,0,469,1.0000000000000002,0,m,1.2711767999862786,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
5,0,5,0,89.0218096000026,,,,89.01135049998993,94.00579120000475,94.00580240000272,94.038592900004,101.52211659998284,101.52211659998284,104.23883009998826,104.52216860000044,104.52216860000044,104.50605229998473,3.66,4.39,441,438,7.5,3.5,1.2,0.75,459,1,467,0.8000000000000003,0,m,1.0580480999778956,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
6,0,6,0,104.52216860000044,,,,104.51211959999637,109.50610389999929,109.50611509999726,109.52231060000486,117.02246139998897,117.02246139998897,119.72254449999309,120.02253240000573,120.02253240000573,120.00637109999661,3.49,4.56,424,455,7.5,3.5,1.2,0.75,459,2,470,1.1000000000000003,0,m,1.2698605000041425,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
7,0,7,0,120.02253240000573,,,,120.0116524999903,125.00652639998589,125.00653779998538,125.02267509998637,132.52282399998512,132.52282399998512,135.22290649998467,135.52291759999935,135.52291759999935,135.50677589999395,4.15,3.9,490,390,7.5,3.5,1.2,0.75,459,3,466,0.7000000000000002,0,m,0.9616582000162452,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
8,0,8,0,135.52291759999935,,,,135.51296210000874,140.50693030000548,140.5069414000027,140.52302140000393,148.02318279998144,148.02318279998144,150.72325049998472,151.023277100001,151.023277100001,151.00715729998774,4.01,4.04,476,404,7.5,3.5,1.2,0.75,459,0,470,1.1000000000000003,1,n,0.985539899993455,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
9,0,9,0,151.023277100001,,,,151.01243949998752,156.00723160000052,156.0072427999985,156.02340659999754,163.52357160000247,163.52357160000247,166.22363100000075,166.52362100000028,166.52362100000028,166.50746130000334,3.44,4.61,419,461,7.5,3.5,1.2,0.75,459,1,468,0.9000000000000001,1,n,1.192919900000561,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
10,0,10,0,166.52362100000028,,,,166.5129420000012,171.50761810000404,171.50762950000353,171.52374259999488,179.02394159999676,179.02394159999676,181.72397379999165,182.0239859999856,182.0239859999856,182.0078782000055,4.21,3.84,496,384,7.5,3.5,1.2,0.75,459,2,467,0.8000000000000003,0,m,1.5926827999937814,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
11,0,11,0,182.0239859999856,,,,182.01328009998542,187.00796699998318,187.00797819998115,187.02410799998324,194.52429420000408,194.52429420000408,197.2243576000037,197.52436179999495,197.52436179999495,197.50823509998736,4.24,3.81,499,381,7.5,3.5,1.2,0.75,459,3,470,1.1000000000000003,1,n,1.3318087999941781,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
12,0,12,0,197.52436179999495,,,,197.5134557999845,202.50829880000674,202.50830970000243,202.60782659999677,210.02465539998957,210.02465539998957,212.80801690000226,213.02471179998247,213.02471179998247,213.00864399998682,3.51,4.54,426,454,7.5,3.5,1.2,0.75,459,0,469,1.0000000000000002,1,n,1.163527199998498,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
13,0,13,0,213.02471179998247,,,,213.01398719998542,218.00869669998065,218.0087081999809,218.0416225999943,225.52499770000577,225.52499770000577,228.24173149999115,228.5250720999902,228.5250720999902,228.50899810000556,4.17,3.88,492,388,7.5,3.5,1.2,0.75,459,1,467,0.8000000000000003,1,n,1.4187755000020843,None,,,,,,,,,,sub-005,COM3,45.9,2024-01-25_11h09.41.088,2024_RDpaindiscrimination_QUEST,2023.2.3,59.9998439957253,2024-01-25 11h10.07.121839 -0500,
