series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,bloc_terminé.started,bloc_terminé.stopped,compile_ramps.started,compile_ramps.stopped,deuxieme_start.started,deuxieme_start.stopped,press_when_ready2.started,text_9.started,press_when_ready2.stopped,wait_2.started,wait_2.stopped,therm_trig2.started,therm_trig2.stopped,rating_scale2.started,ratingScale_2.started,rating_scale2.stopped,keyResp_2.keys,therm_value,ratingScale_2.response,ratingScale_2.rt,thank_you_output_code.started,thank_you_output_code.stopped,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,579.3558334999834,,0.008934199984651059,572.1398587999865,572.1398773999827,577.7569124999864,577.75771049998,579.323441799992,579.3241498999996,579.3558334999834,580.9401342999772,41,2.4,580.9405252999859,583.3398009999946,583.3398160999932,593.3407124999794,593.3407247999858,597.4113191999786,0.0,0.0,3.988,597.4117365999846,597.4229167999874,597.4229167999874,600.1572364000021,y,2.7276502000167966,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,1,0,1,0,,,,,600.172957999981,,,,,,,,600.1579752999824,600.172957999981,601.8406205999781,42,2.4,601.8408886999823,604.2402263999975,604.2402417999983,614.2413053999771,614.2413171999797,618.2484159999876,10.000000000000169,10.000000000000169,3.938,618.2492774999992,618.2734347999794,618.2734347999794,620.3412691999984,y,2.0617901000077836,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,2,0,2,0,,,,,620.3567794999981,,,,,,,,620.341849199991,620.3567794999981,621.8078009999881,43,2.3,621.8080715999822,624.1073551999871,624.1073712999932,634.1083080999961,634.1083202000009,636.8277751999849,25.49999999999998,25.49999999999998,2.651,636.8280690999818,636.840500499995,636.840500499995,639.4915842999762,y,2.6347087000031024,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,3,0,3,0,,,,,639.5072253999824,,,,,,,,639.4921637999942,639.5072253999824,640.9083027000015,44,2.5,640.9085666999745,643.4078096000012,643.4078250999737,653.4088561999961,653.4088692999794,656.2652334999875,46.999999999999915,46.999999999999915,2.788,656.2661125999875,656.2910544999759,656.2910544999759,658.325284999999,y,2.023444999998901,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,4,0,4,0,,,,,658.3409779999929,,,,,,,,658.3258609999903,658.3409779999929,659.6419297999819,45,2.5,659.6421949999931,662.1415609999967,662.14157539999,672.1426588999748,672.1426712999819,674.967069699982,56.500000000000085,56.500000000000085,2.756,674.9679391999962,674.9913839999936,674.9913839999936,676.8923322999908,y,1.8958745999843813,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,5,0,5,0,,,,,676.9082169999892,,,,,,,,676.8929126999865,676.9082169999892,678.2923605999968,46,2.3,678.292619099986,680.5920038999757,680.592019499978,690.592991499987,690.5930037999933,692.5164693999977,70.0,70.0,1.855,692.517363299994,692.5417968999827,692.5417968999827,695.2429485999746,y,2.693558500002837,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,6,0,6,0,,,,,695.2585097999836,,,,,,,,695.2435584999912,695.2585097999836,696.626168799994,47,2.5,696.626446499984,699.1257744999893,699.1257886999811,709.1268529999943,709.1268655999738,712.0174510999932,87.00000000000006,87.00000000000006,2.822,712.0183362999815,712.0422510999779,712.0422510999779,713.1765103999933,n,1.1282016999903135,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713.1769022999797,717.1762133000011,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,0,0,0,0,,,,,723.3759661999939,,,,,,717.1764680999913,723.3601983999833,723.3609360999835,723.3759661999939,725.6768961999915,41,2.5,725.6772641999996,728.1764705999813,728.1764852999768,738.177498199977,738.1775107999856,740.9866003999778,0.5000000000000584,0.5000000000000584,2.741,740.9876522999839,741.0097077999962,741.0097077999962,743.3607174999779,y,2.349053699988872,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,1,0,1,0,,,,,743.3764224999759,,,,,,,,743.3614516999805,743.3764224999759,745.0440644999908,42,2.1,745.0443343999796,747.1435744999908,747.143588899984,757.1446136999875,757.1446261999954,760.9674753999861,7.000000000000131,7.000000000000131,3.755,760.9683186999755,760.9934941999963,760.9934941999963,762.4610810999875,y,1.4571166999812704,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,2,0,2,0,,,,,762.4767631999857,,,,,,,,762.4616640000022,762.4767631999857,764.7110683999781,43,2.1,764.7113381999952,766.8106677999895,766.810682499985,776.8117550999741,776.811767999985,780.9800568999781,11.500000000000073,11.500000000000073,4.1,780.9803486999881,780.9938550999796,780.9938550999796,783.4614951999974,y,2.4611717000079807,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,3,0,3,0,,,,,783.4773211999855,,,,,,,,783.462077299977,783.4773211999855,784.7122313999862,44,2.1,784.7130163999973,786.8113710999896,786.8114163999853,796.812200299988,796.8122125999944,799.001332099986,17.500000000000032,17.500000000000032,2.121,799.0022162999958,799.027671399992,799.027671399992,800.8119096999872,y,1.7712573000171687,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,4,0,4,0,,,,,800.8277679999883,,,,,,,,800.8124848000007,800.8277679999883,802.8455121000006,45,2.0,802.8457763999759,804.8449273000006,804.8449422999984,814.8459811999928,814.8459932999976,817.0188523999823,38.00000000000004,38.00000000000004,2.104,817.0197170999891,817.044699799997,817.044699799997,818.92893189998,y,1.8773576999956276,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,5,0,5,0,,,,,818.9447216999833,,,,,,,,818.929513799987,818.9447216999833,821.6457623000024,46,2.3,821.6460265999776,823.9453478999785,823.9453628999763,833.9463914999797,833.9464036999852,836.2707783999795,58.49999999999997,58.49999999999997,2.256,836.2716556999949,836.2952574999945,836.2952574999945,837.8960413000023,y,1.5836871000065003,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,6,0,6,0,,,,,837.9118307000026,,,,,,,,837.8966067000001,837.9118307000026,839.8962732999935,47,2.3,839.8965346999757,842.1957728999841,842.1957883999858,852.1967482999898,852.1967611,855.1150602999842,73.49999999999991,73.49999999999991,2.849,855.1153515999904,855.1288783999917,855.1288783999917,856.0799528999778,y,0.9495782000012696,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,7,0,7,0,,,,,856.0956533999997,,,,,,,,856.0805196999863,856.0956533999997,859.1799248999741,48,2.1,859.1801939999859,861.2796254999994,861.2796400999941,871.280675099988,871.2806871999928,874.2200192000018,92.00000000000003,92.00000000000003,2.871,874.2209383999871,874.2461412999837,874.2461412999837,875.5304274999944,n,1.2677032999927178,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.5308237999852,879.5299634999828,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
2,0,2,0,0,0,0,0,,,,,884.8297316999815,,,,,,879.5302157999831,884.8140455999819,884.8147638999799,884.8297316999815,888.1807463000005,41,2.5,888.181112899998,890.6803300999745,890.6803452000022,900.6813217999879,900.6813351000019,903.5186014999927,5.842548667089886e-14,5.842548667089886e-14,2.768,903.5191718999995,903.5301367999928,903.5301367999928,905.5472843999742,y,2.0041770999960136,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
2,0,2,0,1,0,1,0,,,,,905.5634102999757,,,,,,,,905.548149099981,905.5634102999757,906.0977915999829,42,2.3,906.0980401999841,908.3973081999866,908.3973226999806,918.3983618999773,918.3983735999791,920.6519643999927,3.0000000000000226,3.0000000000000226,2.185,920.6523149999848,920.6638792000012,920.6638792000012,921.5147364999866,y,0.8382479999854695,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
2,0,2,0,2,0,2,0,,,,,921.5304394999985,,,,,,,,921.5153046999767,921.5304394999985,922.6482070999919,43,2.0,922.6484670999926,924.6478029999998,924.6478170999908,934.6488486999879,934.6488609999942,939.1347678999882,4.0000000000002,4.0000000000002,4.417,939.1350579999853,939.1475327999797,939.1475327999797,939.9984585999919,y,0.8468411000212654,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
2,0,2,0,3,0,3,0,,,,,940.014220299985,,,,,,,,939.9990168999939,940.014220299985,941.3315042999748,44,2.5,941.3317967999901,943.831434599997,943.8314489999902,953.8325733999955,953.8325861999765,956.2686524000019,11.000000000000064,11.000000000000064,2.368,956.268942900002,956.2812679999915,956.2812679999915,957.2156366999843,y,0.9251063000119757,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
2,0,2,0,4,0,4,0,,,,,957.2312716000015,,,,,,,,957.2161901999789,957.2312716000015,958.7656115999853,45,2.5,958.7658676999854,961.2652301999915,961.2652445999847,971.2662650999846,971.2662776999932,973.8369859999802,37.49999999999997,37.49999999999997,2.502,973.8377502999792,973.848447700002,973.848447700002,974.9826170000015,y,1.1219135999854188,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
2,0,2,0,5,0,5,0,,,,,974.9983464999823,,,,,,,,974.983190799976,974.9983464999823,976.4326761999982,46,2.5,976.4329332999769,978.9322706999956,978.9322862999979,988.9333573999756,988.9333694999805,991.8407846999762,59.999999999999936,59.999999999999936,2.839,991.8416373999789,991.8654838999792,991.8654838999792,993.5997344999923,y,1.7283531999855768,None,,,,,,,,,,,,,,,,,,,,,,,sub-006,COM3,3,2024-01-25_11h55.38.215,2024_RDpaindiscrimination_calibration,2023.2.3,59.992968819404226,2024-01-25 11h55.48.819637 -0500,
