series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,bloc_terminé.started,bloc_terminé.stopped,compile_ramps.started,compile_ramps.stopped,deuxieme_start.started,deuxieme_start.stopped,press_when_ready2.started,text_9.started,press_when_ready2.stopped,wait_2.started,wait_2.stopped,therm_trig2.started,therm_trig2.stopped,rating_scale2.started,ratingScale_2.started,rating_scale2.stopped,keyResp_2.keys,therm_value,ratingScale_2.response,ratingScale_2.rt,thank_you_output_code.started,thank_you_output_code.stopped,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,499.86619059999975,,0.003710999999384512,483.0000496999992,483.00006909999956,491.88371499999994,491.8895791999994,499.8337898,499.8345032999996,499.86619059999975,501.16727269999956,41,2.0,501.16768629999933,503.1834700999998,503.18348549999973,513.1844031999999,513.1844173999998,516.8371238999998,0.0,0.0,3.567,516.8374793999992,516.8499261999996,516.8499261999996,525.7511924999999,y,8.899838299999828,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,1,0,1,0,,,,,525.7836168999993,,,,,,,,525.7519514999994,525.7836168999993,530.2179335999999,42,2.4,530.2182041999995,532.6175863999997,532.6176011999996,542.6185671999992,542.6185791999997,546.8748867999993,0.0,0.0,4.185,546.8757871999996,546.9007994999993,546.9007994999993,550.0850088999996,y,3.173009699999966,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,2,0,2,0,,,,,550.1007572999997,,,,,,,,550.0855972999998,550.1007572999997,551.8184427999995,43,2.1,551.8187101999993,553.9177755999999,553.9177905999995,563.9178277999999,563.9178389999997,569.4891973999993,1.5000000000000002,1.5000000000000002,5.5,569.4894975999996,569.5012416,569.5012416,571.8190747999997,y,2.312862199999472,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,3,0,3,0,,,,,571.8346308,,,,,,,,571.8196559999997,571.8346308,573.6023570999996,44,2.0,573.6026222,575.6018884999994,575.6019032999993,585.6030044999998,585.6030170999993,590.5213331999994,4.000000000000093,4.000000000000093,4.846,590.5216295999999,590.5351228,590.5351228,593.2360771999993,y,2.6870305999991615,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,4,0,4,0,,,,,593.2519532999995,,,,,,,,593.2366638999993,593.2519532999995,594.4695476999996,45,2.1,594.4698079,596.5691870999999,596.5692026999996,606.5701911999995,606.5702038999998,613.1273840999993,17.000000000000103,17.000000000000103,6.486,613.1282535,613.1523533,613.1523533,615.9035795,y,2.745781800000259,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,5,0,5,0,,,,,615.9190892999995,,,,,,,,615.9041715999992,615.9190892999995,617.4868287999998,46,2.0,617.4876059999997,619.4863098999995,619.4863243,629.4874310999994,629.4874433999994,637.0894217999994,27.50000000000015,27.50000000000015,7.451,637.0897183999996,637.1029515999999,637.1029515999999,639.8539246999999,y,2.735023100000035,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,6,0,6,0,,,,,639.8697823999992,,,,,,,,639.8545030999994,639.8697823999992,641.0375363999992,47,2.5,641.0378044999998,643.5371497999995,643.5371654999999,653.5380412999993,653.5380540999995,658.8253789999999,40.000000000000036,40.000000000000036,5.216,658.8260979999995,658.8369429999993,658.8369429999993,662.2545625999992,y,3.4048766000005344,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,7,0,7,0,,,,,662.2702258999998,,,,,,,,662.2551451999998,662.2702258999998,663.3879852999999,48,2.4,663.3882384999997,665.7875423999994,665.7875572999992,675.7885997999992,675.7886122,680.8765905999999,52.49999999999992,52.49999999999992,5.017,680.8772423,680.8873530999999,680.8873530999999,683.7884310999998,n,2.898891800000456,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683.7888461999992,687.7882297999995,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
1,0,1,0,0,0,0,0,,,,,688.8043039999993,,,,,,687.7884909999993,688.7885392999997,688.7892368999992,688.8043039999993,692.9720410999998,41,2.5,692.9724200999999,695.4716197999996,695.4716343999999,705.4726494999995,705.4726616999997,708.6916170999993,0.0,0.0,3.147,708.6919728999992,708.7047385999995,708.7047385999995,712.4224224,y,3.7096308999998655,None,,,,,,,,,,,,,,,,,,,,,,,sub-007,COM3,3,2024-01-29_09h04.48.910,2024_RDpaindiscrimination_calibration,2023.2.3,59.97537411119165,2024-01-29 09h05.02.456810 -0500,
