series.thisRepN,series.thisTrialN,series.thisN,series.thisIndex,Ramp.thisRepN,Ramp.thisTrialN,Ramp.thisN,Ramp.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,instructions2.started,instructions2.stopped,instructions_start_ramp.started,instructions_start_ramp.stopped,confirm_continue.started,key_resp_8.started,confirm_continue.stopped,intensity,wait1_dur,wait.started,wait.stopped,therm_trig.started,therm_trig.stopped,rating_scale.started,rating_scale.stopped,rating,ratingScale.response,ratingScale.rt,press_when_ready.started,text_2.started,key_resp_3.started,press_when_ready.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,bloc_terminé.started,bloc_terminé.stopped,compile_ramps.started,compile_ramps.stopped,deuxieme_start.started,deuxieme_start.stopped,press_when_ready2.started,text_9.started,press_when_ready2.stopped,wait_2.started,wait_2.stopped,therm_trig2.started,therm_trig2.stopped,rating_scale2.started,rating_scale2.stopped,keyResp_2.keys,therm_value,ratingScale_2.response,ratingScale_2.rt,thank_you_output_code.started,thank_you_output_code.stopped,participant,com_thermode,nramps,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,2172.0732549999375,,0.0017452000174671412,2168.3569205999374,2168.3569325999124,2170.023604099988,2170.02404379996,2172.05693969992,2172.05724939995,2172.0732549999375,2173.2570189000107,41,2.1,2173.257205499918,2175.356807300006,2175.356815499952,2187.3568556000246,2187.356861899956,2191.980486799963,19.000000000000007,19.000000000000007,4.601,2191.9810458999127,2191.990174699924,2191.990174699924,2200.7407187999925,y,8.747092199977487,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,1,0,1,0,,,,,2200.756964899949,,,,,,,,2200.7410195999546,2200.756964899949,2202.5572619999293,42,2.0,2202.557382699917,2204.5571202000137,2204.5571284999605,2216.5572131000226,2216.5572184999473,2218.8948846999556,26.999999999999975,26.999999999999975,2.32,2218.89535399992,2218.9071747999405,2218.9071747999405,2239.807609500014,y,20.898492299951613,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,2,0,2,0,,,,,2239.8239931999706,,,,,,,,2239.8078168999637,2239.8239931999706,2240.707654799917,43,2.3,2240.707771699992,2243.007561999955,2243.007570100017,2255.007894399925,2255.007901199977,2257.4278299999423,18.500000000000007,18.500000000000007,2.402,2257.4282568999333,2257.4409215999767,2257.4409215999767,2261.074755199952,y,3.633328399970196,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,3,0,3,0,,,,,2261.0909217000008,,,,,,,,2261.074961700011,2261.0909217000008,2262.041274599964,44,2.1,2262.0413953999523,2264.1411560999695,2264.1411638999125,2276.141523599974,2276.141530200024,2279.8459298999514,47.50000000000004,47.50000000000004,3.642,2279.846382000018,2279.8578265999677,2279.8578265999677,2293.8748587999726,y,14.011449199984781,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,4,0,4,0,,,,,2293.8913036999293,,,,,,,,2293.8750697999494,2293.8913036999293,2295.1582682000007,45,2.1,2295.1583887999877,2297.2580869999947,2297.2580953999422,2309.2585191000253,2309.258525399957,2313.180312599987,80.0,80.0,3.904,2313.1807669999544,2313.1914814999327,2313.1914814999327,2317.175100499997,y,3.9752538999309763,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,5,0,5,0,,,,,2317.1914610000094,,,,,,,,2317.175306699937,2317.1914610000094,2318.3751097000204,46,2.2,2318.375228799996,2320.5750292999437,2320.5750378000084,2332.575363199925,2332.5753701999784,2340.629260699963,86.49999999999989,86.49999999999989,8.036,2340.629729099921,2340.6417801999487,2340.6417801999487,2348.3587826999137,y,7.704602900077589,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,6,0,6,0,,,,,2348.3752461000113,,,,,,,,2348.359012999921,2348.3752461000113,2349.4589890999487,47,2.5,2349.459111299948,2351.9587169999722,2351.9587245999137,2363.959118800005,2363.959125399939,2368.7294721999206,100.0,100.0,4.752,2368.729902299936,2368.742130199913,2368.742130199913,2369.509046699968,n,0.7514503999846056,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2369.5092182999942,2373.508983299951,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
1,0,1,0,0,0,0,0,,,,,2383.0588801000267,,,,,,2373.5091223999625,2383.042483099969,2383.04277499998,2383.0588801000267,2386.9591670000227,41,2.5,2386.959354499937,2389.4591295999708,2389.459138999926,2401.459375799983,2401.459382599918,2404.0804356000153,0.0,0.0,2.603,2404.0809971999843,2404.0924814000027,2404.0924814000027,2407.659276599996,y,3.5570386999752373,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
1,0,1,0,1,0,1,0,,,,,2407.675648799981,,,,,,,,2407.6595936999656,2407.675648799981,2408.5259638999123,42,2.5,2408.5260865999153,2411.025857099914,2411.0258657999802,2423.026243499946,2423.026250099996,2426.7465651999228,0.0,0.0,3.702,2426.747002399992,2426.7592487999937,2426.7592487999937,2429.5762289999984,y,2.8145625999895856,None,,,,,,,,,,,,,,,,,,,,,,sub-026,COM3,3,2024-02-19_12h04.19.159,2024_RDpaindiscrimination_calibration,2023.2.3,60.02249642128164,2024-02-19 12h04.28.776694 -0500,
