trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,thermode_locali.stopped,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,175.50217649999968,,0.016783199999736098,170.98574899999994,170.98615879999988,172.63574609999978,172.63575469999978,175.46914849999985,175.46943479999982,180.48560179999959,180.48560819999966,180.5022130999996,192.48573699999997,0,active,45.5,192.48598349999975,194.20421929999975,0.0,1.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,194.21897309999986,,,,,,,,194.2051237999999,199.20260999999982,199.2026168999996,199.219016,211.20304699999997,1,inactive,47.2,211.20318739999993,213.42238769999994,13.500000000000066,2.2,211.23591699999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,213.43598669999983,,,,,,,,213.4231781999997,218.41957709999997,218.41958320000003,218.43600389999983,230.42000059999964,2,active,45.5,230.42014359999985,234.87130499999967,3.000000000000067,4.432,230.45279469999969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,234.88606889999983,,,,,,,,234.8720847999998,239.86972839999999,239.8697345999999,239.88625919999959,251.8701705999997,3,active,45.5,251.8703074,255.0064097999998,10.500000000000133,3.117,251.90304799999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,255.01975939999966,,,,,,,,255.00721589999966,260.00330719999965,260.0033134999999,260.019816,272.00373469999977,0,inactive,47.2,272.0038758999999,273.78885949999994,45.500000000000014,1.766,272.03662719999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,273.8032968999996,,,,,,,,273.7897089999997,278.78686359999983,278.7868698999996,278.80326279999963,290.78732079999963,1,inactive,47.2,290.7874647999997,295.07250639999984,16.50000000000021,4.266,290.82017799999994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,295.08688519999987,,,,,,,,295.0733098999999,300.0704420999996,300.07044859999996,300.0869045999998,312.0708930999999,2,active,45.5,312.07103149999966,314.10590189999994,2.5000000000000226,2.016,312.10373709999976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,314.1204422999999,,,,,,,,314.1066971,319.1039999999998,319.1040063999999,319.12045769999986,331.1043732999997,3,inactive,47.2,331.1045147,332.738828,45.49999999999998,1.615,331.13732189999973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,332.7539981,,,,,,,,332.7394674999996,337.73754599999984,337.7375523999999,337.75406599999997,349.7380051,0,inactive,47.2,349.7381475999996,352.4389484999997,22.00000000000017,2.682,349.77085279999983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,352.45412039999974,,,,,,,,352.43971220000003,357.4376801999997,357.4376863999996,357.4541717999996,369.43829749999986,1,active,45.5,369.43845729999975,371.3568256999997,0.0,1.899,369.4710828999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-045,47.2,45.5,48.1,COM3,2024-07-04_09h41.32.613,2024_RDpaindiscrimination_maintask,2023.2.3,59.99854803515895,2024-07-04 09h41.51.662769 -0400,
