trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_test.thisRepN,loop_test.thisTrialN,loop_test.thisN,loop_test.thisIndex,loop_eval_discri.thisRepN,loop_eval_discri.thisTrialN,loop_eval_discri.thisN,loop_eval_discri.thisIndex,loop_eval.thisRepN,loop_eval.thisTrialN,loop_eval.thisN,loop_eval.thisIndex,loop_discri.thisRepN,loop_discri.thisTrialN,loop_discri.thisN,loop_discri.thisIndex,thisRow.t,notes,Set_up.started,Set_up.stopped,electrode_check.started,electrode_check.stopped,instructions_eval.started,instructions_eval.stopped,pause_5_test.started,pause_5_test.stopped,Phase_Test.started,thermode_locali.started,thermode_locali.stopped,Phase_Test.stopped,loca_thermode,condition,temp_trial_sent,eval_douleur.started,eval_douleur.stopped,ratingScale.response,ratingScale.rt,Fin_test.started,text.started,Fin_test.stopped,pause_5_EVA.started,pause_5_EVA.stopped,tâche_EVA.started,thermode_locali_EVA.started,thermode_locali_EVA.stopped,tâche_EVA.stopped,instructions_discrim.started,instructions_discrim.stopped,pause_5_pic.started,pause_5_pic.stopped,tâche_PIC.started,thermode_locali_pic.started,percu_or.started,responser.started,thermode_locali_pic.stopped,percu_or.stopped,responser.stopped,tâche_PIC.stopped,dur_plateau1,dur_plateau2,dur_plateau1_sent,dur_plateau2_sent,start_plateau_2_resp,dur_pic,dur_rise,pic_presence,pic_response,discrimin_resp.keys,discrimin_resp.rt,discrimin_resp.duration,break_entre_bloc.started,break_entre_bloc.stopped,merci.started,merci.stopped,participant,temp_flat,temp_active,temp_pic_set,com_thermode,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,170.60794799998985,,0.006328699993900955,162.49164169997675,162.49200729999575,169.74168179999106,169.7416891999892,170.5916185999813,170.59191419999115,175.5915973999945,175.59160429998883,175.60806619998766,187.62479050000547,187.5920744999894,0,inactive,49.4,187.59231499998714,191.5103259999887,17.50000000000021,3.894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,191.5248568999814,,,,,,,,191.5112403999956,196.50856570000178,196.50857179999002,196.52498560000095,208.54179759998806,208.50894629998947,1,active,48.2,208.50909849998425,210.94448700000066,11.500000000000028,2.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,210.95851999998558,,,,,,,,210.94529639999382,215.94208629999775,215.94209259998752,215.95851619998575,227.97529529998428,227.9424493999977,2,active,48.2,227.94259849999798,232.32800280000083,0.0,4.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,232.34203709999565,,,,,,,,232.3288082999934,237.32557620000443,237.32558289999724,237.34209279998322,249.35891509999055,249.32603209998342,3,inactive,49.4,249.32618259999435,253.09500800000387,16.00000000000021,3.749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,253.10889209999004,,,,,,,,253.09580680000363,258.09243679998326,258.0924435000052,258.10893759998726,270.1257668999897,270.09287150000455,0,inactive,49.4,270.0930195999972,271.527505999984,30.0,1.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,5,0,5,0,,,,,,,,,,,,,271.54244209997705,,,,,,,,271.5283770999813,276.5260645999806,276.52607089999947,276.5424411999993,288.5592756999831,288.5264792999951,1,active,48.2,288.52662879999843,291.3956700999988,11.5000000000001,2.849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,6,0,6,0,,,,,,,,,,,,,291.4093034999969,,,,,,,,291.39648299998953,296.3928331999923,296.39283979998436,296.4093601999921,308.4261387999868,308.3932851999998,2,inactive,49.4,308.39343589998316,311.0776136999775,4.000000000000022,2.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,7,0,7,0,,,,,,,,,,,,,311.0928519000008,,,,,,,,311.0784105999919,316.0763978000032,316.0764043999952,316.092906099977,328.10956969999825,328.07675359997666,3,active,48.2,328.0769037999853,332.46130890000495,0.0,4.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,8,0,8,0,,,,,,,,,,,,,332.47640270000556,,,,,,,,332.46212489999016,337.4599620999943,337.4599737999961,337.4764579999901,349.493235300004,349.46036840000306,0,active,48.2,349.46052309998777,351.5280344999919,8.000000000000025,2.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
0,0,0,0,9,0,9,0,,,,,,,,,,,,,351.543188599986,,,,,,,,351.5288585999806,356.5267709000036,356.5267778999987,356.5432731999899,368.5601049999823,368.52722619997803,1,inactive,49.4,368.5274063999823,372.6292482999852,3.000000000000067,4.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-047,49.4,48.2,50.3,COM3,2024-07-11_09h40.08.005,2024_RDpaindiscrimination_maintask,2023.2.3,59.99487643695273,2024-07-11 09h40.29.994669 -0400,
